Athlete;Age;Country;Year;Closing Ceremony Date;Sport;Gold Medals;Silver Medals;Bronze Medals;Total Medals;Points;Type;Continent
Michael Phelps;23;United States;2008;24/08/2008;Swimming;8;0;0;8;24;Olympics;AMERICA
Michael Phelps;19;United States;2004;29/08/2004;Swimming;6;0;2;8;20;Olympics;AMERICA
Michael Phelps;27;United States;2012;12/08/2012;Swimming;4;2;0;6;16;Olympics;AMERICA
Natalie Coughlin;25;United States;2008;24/08/2008;Swimming;1;2;3;6;10;Olympics;AMERICA
Aleksey Nemov;24;Russia;2000;01/10/2000;Gymnastics;2;1;3;6;11;Olympics;ASIA
Alicia Coutts;24;Australia;2012;12/08/2012;Swimming;1;3;1;5;10;Olympics;OCEANIA
Missy Franklin;17;United States;2012;12/08/2012;Swimming;4;0;1;5;13;Olympics;AMERICA
Ryan Lochte;27;United States;2012;12/08/2012;Swimming;2;2;1;5;11;Olympics;AMERICA
Allison Schmitt;22;United States;2012;12/08/2012;Swimming;3;1;1;5;12;Olympics;AMERICA
Natalie Coughlin;21;United States;2004;29/08/2004;Swimming;2;2;1;5;11;Olympics;AMERICA
Ian Thorpe;17;Australia;2000;01/10/2000;Swimming;3;2;0;5;13;Olympics;OCEANIA
Dara Torres;33;United States;2000;01/10/2000;Swimming;2;0;3;5;9;Olympics;AMERICA
Cindy Klassen;26;Canada;2006;26/02/2006;Speed Skating;1;2;2;5;9;Winter Olympics;AMERICA
Nastia Liukin;18;United States;2008;24/08/2008;Gymnastics;1;3;1;5;10;Olympics;AMERICA
Marit Bjørgen;29;Norway;2010;28/02/2010;Cross Country Skiing;3;1;1;5;12;Winter Olympics;EUROPE
Sun Yang;20;China;2012;12/08/2012;Swimming;2;1;1;4;9;Olympics;ASIA
Kirsty Coventry;24;Zimbabwe;2008;24/08/2008;Swimming;1;3;0;4;9;Olympics;AFRICA
Libby Lenton-Trickett;23;Australia;2008;24/08/2008;Swimming;2;1;1;4;9;Olympics;OCEANIA
Ryan Lochte;24;United States;2008;24/08/2008;Swimming;2;0;2;4;8;Olympics;AMERICA
Inge de Bruijn;30;Netherlands;2004;29/08/2004;Swimming;1;1;2;4;7;Olympics;EUROPE
Petria Thomas;28;Australia;2004;29/08/2004;Swimming;3;1;0;4;11;Olympics;OCEANIA
Ian Thorpe;21;Australia;2004;29/08/2004;Swimming;2;1;1;4;9;Olympics;OCEANIA
Inge de Bruijn;27;Netherlands;2000;01/10/2000;Swimming;3;1;0;4;11;Olympics;EUROPE
Gary Hall Jr.;25;United States;2000;01/10/2000;Swimming;2;1;1;4;9;Olympics;AMERICA
Michael Klim;23;Australia;2000;01/10/2000;Swimming;2;2;0;4;10;Olympics;OCEANIA
Susie O'Neill;27;Australia;2000;01/10/2000;Swimming;1;3;0;4;9;Olympics;OCEANIA
Jenny Thompson;27;United States;2000;01/10/2000;Swimming;3;0;1;4;10;Olympics;AMERICA
Pieter van den Hoogenband;22;Netherlands;2000;01/10/2000;Swimming;2;0;2;4;8;Olympics;EUROPE
An Hyeon-Su;20;South Korea;2006;26/02/2006;Short-Track Speed Skating;3;0;1;4;10;Winter Olympics;ASIA
Aliya Mustafina;17;Russia;2012;12/08/2012;Gymnastics;1;1;2;4;7;Olympics;ASIA
Shawn Johnson;16;United States;2008;24/08/2008;Gymnastics;1;3;0;4;9;Olympics;AMERICA
Dmitry Sautin;26;Russia;2000;01/10/2000;Diving;1;1;2;4;7;Olympics;ASIA
Leontien Zijlaard-van Moorsel;30;Netherlands;2000;01/10/2000;Cycling;3;1;0;4;11;Olympics;EUROPE
Petter Northug Jr.;24;Norway;2010;28/02/2010;Cross Country Skiing;2;1;1;4;9;Winter Olympics;EUROPE
Ole Einar Bjørndalen;28;Norway;2002;24/02/2002;Biathlon;4;0;0;4;12;Winter Olympics;EUROPE
Janica Kostelic;20;Croatia;2002;24/02/2002;Alpine Skiing;3;1;0;4;11;Winter Olympics;EUROPE
Nathan Adrian;23;United States;2012;12/08/2012;Swimming;2;1;0;3;8;Olympics;AMERICA
Yannick Agnel;20;France;2012;12/08/2012;Swimming;2;1;0;3;8;Olympics;EUROPE
Brittany Elmslie;18;Australia;2012;12/08/2012;Swimming;1;2;0;3;7;Olympics;OCEANIA
Matt Grevers;27;United States;2012;12/08/2012;Swimming;2;1;0;3;8;Olympics;AMERICA
Ryosuke Irie;22;Japan;2012;12/08/2012;Swimming;0;2;1;3;5;Olympics;ASIA
Cullen Jones;28;United States;2012;12/08/2012;Swimming;1;2;0;3;7;Olympics;AMERICA
Ranomi Kromowidjojo;21;Netherlands;2012;12/08/2012;Swimming;2;1;0;3;8;Olympics;EUROPE
Camille Muffat;22;France;2012;12/08/2012;Swimming;1;1;1;3;6;Olympics;EUROPE
Mel Schlanger;25;Australia;2012;12/08/2012;Swimming;1;2;0;3;7;Olympics;OCEANIA
Emily Seebohm;20;Australia;2012;12/08/2012;Swimming;1;2;0;3;7;Olympics;OCEANIA
Rebecca Soni;25;United States;2012;12/08/2012;Swimming;2;1;0;3;8;Olympics;AMERICA
Satomi Suzuki;21;Japan;2012;12/08/2012;Swimming;0;1;2;3;4;Olympics;ASIA
Dana Vollmer;24;United States;2012;12/08/2012;Swimming;3;0;0;3;9;Olympics;AMERICA
Alain Bernard;25;France;2008;24/08/2008;Swimming;1;1;1;3;6;Olympics;EUROPE
László Cseh Jr.;22;Hungary;2008;24/08/2008;Swimming;0;3;0;3;6;Olympics;EUROPE
Matt Grevers;23;United States;2008;24/08/2008;Swimming;2;1;0;3;8;Olympics;AMERICA
Margaret Hoelzer;25;United States;2008;24/08/2008;Swimming;0;2;1;3;5;Olympics;AMERICA
Katie Hoff;19;United States;2008;24/08/2008;Swimming;0;1;2;3;4;Olympics;AMERICA
Leisel Jones;22;Australia;2008;24/08/2008;Swimming;2;1;0;3;8;Olympics;OCEANIA
Kosuke Kitajima;25;Japan;2008;24/08/2008;Swimming;2;0;1;3;7;Olympics;ASIA
Andrew Lauterstein;21;Australia;2008;24/08/2008;Swimming;0;1;2;3;4;Olympics;OCEANIA
Jason Lezak;32;United States;2008;24/08/2008;Swimming;2;0;1;3;7;Olympics;AMERICA
Pang Jiaying;23;China;2008;24/08/2008;Swimming;0;1;2;3;4;Olympics;ASIA
Aaron Peirsol;25;United States;2008;24/08/2008;Swimming;2;1;0;3;8;Olympics;AMERICA
Steph Rice;20;Australia;2008;24/08/2008;Swimming;3;0;0;3;9;Olympics;OCEANIA
Jess Schipper;21;Australia;2008;24/08/2008;Swimming;1;0;2;3;5;Olympics;OCEANIA
Rebecca Soni;21;United States;2008;24/08/2008;Swimming;1;2;0;3;7;Olympics;AMERICA
Eamon Sullivan;22;Australia;2008;24/08/2008;Swimming;0;2;1;3;5;Olympics;OCEANIA
Dara Torres;41;United States;2008;24/08/2008;Swimming;0;3;0;3;6;Olympics;AMERICA
Amanda Beard;22;United States;2004;29/08/2004;Swimming;1;2;0;3;7;Olympics;AMERICA
Antje Buschschulte;25;Germany;2004;29/08/2004;Swimming;0;0;3;3;3;Olympics;EUROPE
Kirsty Coventry;20;Zimbabwe;2004;29/08/2004;Swimming;1;1;1;3;6;Olympics;AFRICA
Ian Crocker;21;United States;2004;29/08/2004;Swimming;1;1;1;3;6;Olympics;AMERICA
Grant Hackett;24;Australia;2004;29/08/2004;Swimming;1;2;0;3;7;Olympics;OCEANIA
Brendan Hansen;22;United States;2004;29/08/2004;Swimming;1;1;1;3;6;Olympics;AMERICA
Jodie Henry;20;Australia;2004;29/08/2004;Swimming;3;0;0;3;9;Olympics;OCEANIA
Otylia Jedrzejczak;20;Poland;2004;29/08/2004;Swimming;1;2;0;3;7;Olympics;EUROPE
Leisel Jones;18;Australia;2004;29/08/2004;Swimming;1;1;1;3;6;Olympics;OCEANIA
Kosuke Kitajima;21;Japan;2004;29/08/2004;Swimming;2;0;1;3;7;Olympics;ASIA
Laure Manaudou;17;France;2004;29/08/2004;Swimming;1;1;1;3;6;Olympics;EUROPE
Aaron Peirsol;21;United States;2004;29/08/2004;Swimming;3;0;0;3;9;Olympics;AMERICA
Kaitlin Sandeno;21;United States;2004;29/08/2004;Swimming;1;1;1;3;6;Olympics;AMERICA
Roland Schoeman;24;South Africa;2004;29/08/2004;Swimming;1;1;1;3;6;Olympics;AFRICA
Pieter van den Hoogenband;26;Netherlands;2004;29/08/2004;Swimming;1;2;0;3;7;Olympics;EUROPE
Therese Alshammar;23;Sweden;2000;01/10/2000;Swimming;0;2;1;3;5;Olympics;EUROPE
Yana Klochkova;18;Ukraine;2000;01/10/2000;Swimming;2;1;0;3;8;Olympics;EUROPE
Lenny Krayzelburg;24;United States;2000;01/10/2000;Swimming;3;0;0;3;9;Olympics;AMERICA
Massimiliano Rosolino;22;Italy;2000;01/10/2000;Swimming;1;1;1;3;6;Olympics;EUROPE
Petria Thomas;25;Australia;2000;01/10/2000;Swimming;0;2;1;3;5;Olympics;OCEANIA
Matt Welsh;23;Australia;2000;01/10/2000;Swimming;0;2;1;3;5;Olympics;OCEANIA
Lee Jeong-Su;20;South Korea;2010;28/02/2010;Short-Track Speed Skating;2;1;0;3;8;Winter Olympics;ASIA
Apolo Anton Ohno;27;United States;2010;28/02/2010;Short-Track Speed Skating;0;1;2;3;4;Winter Olympics;AMERICA
Wang Meng;24;China;2010;28/02/2010;Short-Track Speed Skating;3;0;0;3;9;Winter Olympics;ASIA
Jin Seon-Yu;17;South Korea;2006;26/02/2006;Short-Track Speed Skating;3;0;0;3;9;Winter Olympics;ASIA
Lee Ho-Seok;19;South Korea;2006;26/02/2006;Short-Track Speed Skating;1;2;0;3;7;Winter Olympics;ASIA
Apolo Anton Ohno;23;United States;2006;26/02/2006;Short-Track Speed Skating;1;0;2;3;5;Winter Olympics;AMERICA
Wang Meng;20;China;2006;26/02/2006;Short-Track Speed Skating;1;1;1;3;6;Winter Olympics;ASIA
Marc Gagnon;26;Canada;2002;24/02/2002;Short-Track Speed Skating;2;0;1;3;7;Winter Olympics;AMERICA
Yang Yang (A);25;China;2002;24/02/2002;Short-Track Speed Skating;2;1;0;3;8;Winter Olympics;ASIA
Stephanie Beckert;21;Germany;2010;28/02/2010;Speed Skating;1;2;0;3;7;Winter Olympics;EUROPE
Martina Sáblíková;22;Czech Republic;2010;28/02/2010;Speed Skating;2;0;1;3;7;Winter Olympics;EUROPE
Enrico Fabris;24;Italy;2006;26/02/2006;Speed Skating;2;0;1;3;7;Winter Olympics;EUROPE
Chad Hedrick;28;United States;2006;26/02/2006;Speed Skating;1;1;1;3;6;Winter Olympics;AMERICA
Jochem Uytdehaage;25;Netherlands;2002;24/02/2002;Speed Skating;2;1;0;3;8;Winter Olympics;EUROPE
Sabine Völker;28;Germany;2002;24/02/2002;Speed Skating;0;2;1;3;5;Winter Olympics;EUROPE
Gregor Schlierenzauer;20;Austria;2010;28/02/2010;Ski Jumping;1;0;2;3;5;Winter Olympics;EUROPE
Lars Bystøl;27;Norway;2006;26/02/2006;Ski Jumping;1;0;2;3;5;Winter Olympics;EUROPE
Johnny Spillane;29;United States;2010;28/02/2010;Nordic Combined;0;3;0;3;6;Winter Olympics;AMERICA
Felix Gottwald;30;Austria;2006;26/02/2006;Nordic Combined;2;1;0;3;8;Winter Olympics;EUROPE
Georg Hettich;27;Germany;2006;26/02/2006;Nordic Combined;1;1;1;3;6;Winter Olympics;EUROPE
Felix Gottwald;26;Austria;2002;24/02/2002;Nordic Combined;0;0;3;3;3;Winter Olympics;EUROPE
Samppa Lajunen;22;Finland;2002;24/02/2002;Nordic Combined;3;0;0;3;9;Winter Olympics;EUROPE
Aly Raisman;18;United States;2012;12/08/2012;Gymnastics;2;0;1;3;7;Olympics;AMERICA
Kohei Uchimura;23;Japan;2012;12/08/2012;Gymnastics;1;2;0;3;7;Olympics;ASIA
Zou Kai;24;China;2012;12/08/2012;Gymnastics;2;0;1;3;7;Olympics;ASIA
Cheng Fei;20;China;2008;24/08/2008;Gymnastics;1;0;2;3;5;Olympics;ASIA
Yang Wei;28;China;2008;24/08/2008;Gymnastics;2;1;0;3;8;Olympics;ASIA
Yang Yilin;15;China;2008;24/08/2008;Gymnastics;1;0;2;3;5;Olympics;ASIA
Zou Kai;20;China;2008;24/08/2008;Gymnastics;3;0;0;3;9;Olympics;ASIA
Marian Dragulescu;23;Romania;2004;29/08/2004;Gymnastics;0;1;2;3;4;Olympics;EUROPE
Paul Hamm;21;United States;2004;29/08/2004;Gymnastics;1;2;0;3;7;Olympics;AMERICA
Carly Patterson;16;United States;2004;29/08/2004;Gymnastics;1;2;0;3;7;Olympics;AMERICA
Catalina Ponor;16;Romania;2004;29/08/2004;Gymnastics;3;0;0;3;9;Olympics;EUROPE
Simona Amânar;20;Romania;2000;01/10/2000;Gymnastics;2;0;1;3;7;Olympics;EUROPE
Svetlana Khorkina;21;Russia;2000;01/10/2000;Gymnastics;1;2;0;3;7;Olympics;ASIA
Yekaterina Lobaznyuk;17;Russia;2000;01/10/2000;Gymnastics;0;2;1;3;5;Olympics;ASIA
Yelena Zamolodchikova;17;Russia;2000;01/10/2000;Gymnastics;2;1;0;3;8;Olympics;ASIA
Guo Shuang;26;China;2012;12/08/2012;Cycling;0;2;1;3;5;Olympics;ASIA
Chris Hoy;32;Great Britain;2008;24/08/2008;Cycling;3;0;0;3;9;Olympics;EUROPE
Bradley Wiggins;24;Great Britain;2004;29/08/2004;Cycling;1;1;1;3;6;Olympics;EUROPE
Florian Rousseau;26;France;2000;01/10/2000;Cycling;2;1;0;3;8;Olympics;EUROPE
Justyna Kowalczyk;27;Poland;2010;28/02/2010;Cross Country Skiing;1;1;1;3;6;Winter Olympics;EUROPE
Johan Olsson;29;Sweden;2010;28/02/2010;Cross Country Skiing;1;0;2;3;5;Winter Olympics;EUROPE
Stefania Belmondo;33;Italy;2002;24/02/2002;Cross Country Skiing;1;1;1;3;6;Winter Olympics;EUROPE
Yuliya Chepalova;25;Russia;2002;24/02/2002;Cross Country Skiing;1;1;1;3;6;Winter Olympics;ASIA
Frode Estil;29;Norway;2002;24/02/2002;Cross Country Skiing;2;1;0;3;8;Winter Olympics;EUROPE
Bente Skari-Martinsen;29;Norway;2002;24/02/2002;Cross Country Skiing;1;1;1;3;6;Winter Olympics;EUROPE
Magdalena Neuner;23;Germany;2010;28/02/2010;Biathlon;2;1;0;3;8;Winter Olympics;EUROPE
Emil Hegle Svendsen;24;Norway;2010;28/02/2010;Biathlon;2;1;0;3;8;Winter Olympics;EUROPE
Albina Akhatova;29;Russia;2006;26/02/2006;Biathlon;1;0;2;3;5;Winter Olympics;ASIA
Ole Einar Bjørndalen;32;Norway;2006;26/02/2006;Biathlon;0;2;1;3;5;Winter Olympics;EUROPE
Sven Fischer;34;Germany;2006;26/02/2006;Biathlon;2;0;1;3;7;Winter Olympics;EUROPE
Martina Glagow-Beck;26;Germany;2006;26/02/2006;Biathlon;0;3;0;3;6;Winter Olympics;EUROPE
Michael Greis;29;Germany;2006;26/02/2006;Biathlon;3;0;0;3;9;Winter Olympics;EUROPE
Kati Wilhelm;29;Germany;2006;26/02/2006;Biathlon;1;2;0;3;7;Winter Olympics;EUROPE
Kati Wilhelm;25;Germany;2002;24/02/2002;Biathlon;2;1;0;3;8;Winter Olympics;EUROPE
Yohan Blake;22;Jamaica;2012;12/08/2012;Athletics;1;2;0;3;7;Olympics;AMERICA
Usain Bolt;25;Jamaica;2012;12/08/2012;Athletics;3;0;0;3;9;Olympics;AMERICA
Allyson Felix;26;United States;2012;12/08/2012;Athletics;3;0;0;3;9;Olympics;AMERICA
Shelly-Ann Fraser-Pryce;25;Jamaica;2012;12/08/2012;Athletics;1;2;0;3;7;Olympics;AMERICA
Carmelita Jeter;32;United States;2012;12/08/2012;Athletics;1;1;1;3;6;Olympics;AMERICA
Usain Bolt;21;Jamaica;2008;24/08/2008;Athletics;3;0;0;3;9;Olympics;AMERICA
Veronica Campbell-Brown;22;Jamaica;2004;29/08/2004;Athletics;2;0;1;3;7;Olympics;AMERICA
Justin Gatlin;22;United States;2004;29/08/2004;Athletics;1;1;1;3;6;Olympics;AMERICA
Bode Miller;32;United States;2010;28/02/2010;Alpine Skiing;1;1;1;3;6;Winter Olympics;AMERICA
Aksel Lund Svindal;27;Norway;2010;28/02/2010;Alpine Skiing;1;1;1;3;6;Winter Olympics;EUROPE
Anja Pärson;24;Sweden;2006;26/02/2006;Alpine Skiing;1;0;2;3;5;Winter Olympics;EUROPE
Stephan Eberharter;32;Austria;2002;24/02/2002;Alpine Skiing;1;1;1;3;6;Winter Olympics;EUROPE
Ding Ning;22;China;2012;12/08/2012;Table Tennis;1;1;0;2;5;Olympics;ASIA
Feng Tian Wei;25;Singapore;2012;12/08/2012;Table Tennis;0;0;2;2;2;Olympics;ASIA
Li Xiaoxia;24;China;2012;12/08/2012;Table Tennis;2;0;0;2;6;Olympics;ASIA
Dmitrij Ovtcharov;23;Germany;2012;12/08/2012;Table Tennis;0;0;2;2;2;Olympics;EUROPE
Wang Hao;28;China;2012;12/08/2012;Table Tennis;1;1;0;2;5;Olympics;ASIA
Zhang Jike;24;China;2012;12/08/2012;Table Tennis;2;0;0;2;6;Olympics;ASIA
Guo Yue;20;China;2008;24/08/2008;Table Tennis;1;0;1;2;4;Olympics;ASIA
Ma Lin;28;China;2008;24/08/2008;Table Tennis;2;0;0;2;6;Olympics;ASIA
Wang Hao;24;China;2008;24/08/2008;Table Tennis;1;1;0;2;5;Olympics;ASIA
Wang Liqin;30;China;2008;24/08/2008;Table Tennis;1;0;1;2;4;Olympics;ASIA
Wang Nan;29;China;2008;24/08/2008;Table Tennis;1;1;0;2;5;Olympics;ASIA
Zhang Yining;26;China;2008;24/08/2008;Table Tennis;2;0;0;2;6;Olympics;ASIA
Zhang Yining;22;China;2004;29/08/2004;Table Tennis;2;0;0;2;6;Olympics;ASIA
Kong Linghui;24;China;2000;01/10/2000;Table Tennis;1;1;0;2;5;Olympics;ASIA
Li Ju;24;China;2000;01/10/2000;Table Tennis;1;1;0;2;5;Olympics;ASIA
Liu Guoliang;24;China;2000;01/10/2000;Table Tennis;0;1;1;2;3;Olympics;ASIA
Wang Nan;21;China;2000;01/10/2000;Table Tennis;2;0;0;2;6;Olympics;ASIA
Viktoriya Azarenko;22;Belarus;2012;12/08/2012;Tennis;1;0;1;2;4;Olympics;EUROPE
Mike Bryan;34;United States;2012;12/08/2012;Tennis;1;0;1;2;4;Olympics;AMERICA
Andy Murray;25;Great Britain;2012;12/08/2012;Tennis;1;1;0;2;5;Olympics;EUROPE
Serena Williams;30;United States;2012;12/08/2012;Tennis;2;0;0;2;6;Olympics;AMERICA
Fernando González;24;Chile;2004;29/08/2004;Tennis;1;0;1;2;4;Olympics;AMERICA
Nicolás Massú;26;Chile;2004;29/08/2004;Tennis;2;0;0;2;6;Olympics;AMERICA
Venus Williams;20;United States;2000;01/10/2000;Tennis;2;0;0;2;6;Olympics;AMERICA
Ona Carbonell;22;Spain;2012;12/08/2012;Synchronized Swimming;0;1;1;2;3;Olympics;EUROPE
Andrea Fuentes;29;Spain;2012;12/08/2012;Synchronized Swimming;0;1;1;2;3;Olympics;EUROPE
Huang Xuechen;22;China;2012;12/08/2012;Synchronized Swimming;0;1;1;2;3;Olympics;ASIA
Nataliya Ishchenko;26;Russia;2012;12/08/2012;Synchronized Swimming;2;0;0;2;6;Olympics;ASIA
Liu Ou;25;China;2012;12/08/2012;Synchronized Swimming;0;1;1;2;3;Olympics;ASIA
Svetlana Romashina;22;Russia;2012;12/08/2012;Synchronized Swimming;2;0;0;2;6;Olympics;ASIA
Anastasiya Davydova;25;Russia;2008;24/08/2008;Synchronized Swimming;2;0;0;2;6;Olympics;ASIA
Andrea Fuentes;25;Spain;2008;24/08/2008;Synchronized Swimming;0;2;0;2;4;Olympics;EUROPE
Gemma Mengual;31;Spain;2008;24/08/2008;Synchronized Swimming;0;2;0;2;4;Olympics;EUROPE
Anastasiya Yermakova;25;Russia;2008;24/08/2008;Synchronized Swimming;2;0;0;2;6;Olympics;ASIA
Alison Bartosik;21;United States;2004;29/08/2004;Synchronized Swimming;0;0;2;2;2;Olympics;AMERICA
Anastasiya Davydova;21;Russia;2004;29/08/2004;Synchronized Swimming;2;0;0;2;6;Olympics;ASIA
Anna Kozlova;31;United States;2004;29/08/2004;Synchronized Swimming;0;0;2;2;2;Olympics;AMERICA
Miya Tachibana;29;Japan;2004;29/08/2004;Synchronized Swimming;0;2;0;2;4;Olympics;ASIA
Miho Takeda;27;Japan;2004;29/08/2004;Synchronized Swimming;0;2;0;2;4;Olympics;ASIA
Anastasiya Yermakova;21;Russia;2004;29/08/2004;Synchronized Swimming;2;0;0;2;6;Olympics;ASIA
Olga Brusnikina;21;Russia;2000;01/10/2000;Synchronized Swimming;2;0;0;2;6;Olympics;ASIA
Mariya Kiselyova;25;Russia;2000;01/10/2000;Synchronized Swimming;2;0;0;2;6;Olympics;ASIA
Miya Tachibana;25;Japan;2000;01/10/2000;Synchronized Swimming;0;2;0;2;4;Olympics;ASIA
Miho Takeda;24;Japan;2000;01/10/2000;Synchronized Swimming;0;2;0;2;4;Olympics;ASIA
Becky Adlington;23;Great Britain;2012;12/08/2012;Swimming;0;0;2;2;2;Olympics;EUROPE
Bronte Barratt;23;Australia;2012;12/08/2012;Swimming;0;1;1;2;3;Olympics;OCEANIA
Elizabeth Beisel;19;United States;2012;12/08/2012;Swimming;0;1;1;2;3;Olympics;AMERICA
Mireia Belmonte;21;Spain;2012;12/08/2012;Swimming;0;2;0;2;4;Olympics;EUROPE
Ricky Berens;24;United States;2012;12/08/2012;Swimming;1;1;0;2;5;Olympics;AMERICA
Aleksandra Gerasimenya;26;Belarus;2012;12/08/2012;Swimming;0;2;0;2;4;Olympics;EUROPE
Brendan Hansen;30;United States;2012;12/08/2012;Swimming;1;0;1;2;4;Olympics;AMERICA
Jessica Hardy;25;United States;2012;12/08/2012;Swimming;1;0;1;2;4;Olympics;AMERICA
Chad le Clos;20;South Africa;2012;12/08/2012;Swimming;1;1;0;2;5;Olympics;AFRICA
Clément Lefert;24;France;2012;12/08/2012;Swimming;1;1;0;2;5;Olympics;EUROPE
Amaury Leveaux;26;France;2012;12/08/2012;Swimming;1;1;0;2;5;Olympics;EUROPE
James Magnussen;21;Australia;2012;12/08/2012;Swimming;0;1;1;2;3;Olympics;OCEANIA
Takeshi Matsuda;28;Japan;2012;12/08/2012;Swimming;0;1;1;2;3;Olympics;ASIA
Oussama Mellouli;28;Tunisia;2012;12/08/2012;Swimming;1;0;1;2;4;Olympics;AFRICA
Park Tae-Hwan;22;South Korea;2012;12/08/2012;Swimming;0;2;0;2;4;Olympics;ASIA
Christian Sprenger;26;Australia;2012;12/08/2012;Swimming;0;1;1;2;3;Olympics;OCEANIA
Jeremy Stravius;24;France;2012;12/08/2012;Swimming;1;1;0;2;5;Olympics;EUROPE
Aya Terakawa;27;Japan;2012;12/08/2012;Swimming;0;0;2;2;2;Olympics;ASIA
Nick Thoman;26;United States;2012;12/08/2012;Swimming;1;1;0;2;5;Olympics;AMERICA
Marleen Veldhuis;33;Netherlands;2012;12/08/2012;Swimming;0;1;1;2;3;Olympics;EUROPE
Ye Shiwen;16;China;2012;12/08/2012;Swimming;2;0;0;2;6;Olympics;ASIA
Becky Adlington;19;Great Britain;2008;24/08/2008;Swimming;2;0;0;2;6;Olympics;EUROPE
Leith Brodie;22;Australia;2008;24/08/2008;Swimming;0;0;2;2;2;Olympics;OCEANIA
Cate Campbell;16;Australia;2008;24/08/2008;Swimming;0;0;2;2;2;Olympics;OCEANIA
César Cielo Filho;21;Brazil;2008;24/08/2008;Swimming;1;0;1;2;4;Olympics;AMERICA
Hugues Duboscq;26;France;2008;24/08/2008;Swimming;0;0;2;2;2;Olympics;EUROPE
Felicity Galvez;23;Australia;2008;24/08/2008;Swimming;2;0;0;2;6;Olympics;OCEANIA
Grant Hackett;28;Australia;2008;24/08/2008;Swimming;0;1;1;2;3;Olympics;OCEANIA
Kara Lynn Joyce;22;United States;2008;24/08/2008;Swimming;0;2;0;2;4;Olympics;AMERICA
Amaury Leveaux;22;France;2008;24/08/2008;Swimming;0;2;0;2;4;Olympics;EUROPE
Christine Magnuson;22;United States;2008;24/08/2008;Swimming;0;2;0;2;4;Olympics;AMERICA
Patrick Murphy;24;Australia;2008;24/08/2008;Swimming;0;0;2;2;2;Olympics;OCEANIA
Park Tae-Hwan;18;South Korea;2008;24/08/2008;Swimming;1;1;0;2;5;Olympics;ASIA
Shayne Reese;25;Australia;2008;24/08/2008;Swimming;1;0;1;2;4;Olympics;OCEANIA
Brenton Rickard;24;Australia;2008;24/08/2008;Swimming;0;2;0;2;4;Olympics;OCEANIA
Mel Schlanger;21;Australia;2008;24/08/2008;Swimming;1;0;1;2;4;Olympics;OCEANIA
Julia Smit;20;United States;2008;24/08/2008;Swimming;0;1;1;2;3;Olympics;AMERICA
Britta Steffen;24;Germany;2008;24/08/2008;Swimming;2;0;0;2;6;Olympics;EUROPE
Hayden Stoeckel;24;Australia;2008;24/08/2008;Swimming;0;1;1;2;3;Olympics;OCEANIA
Matt Targett;22;Australia;2008;24/08/2008;Swimming;0;1;1;2;3;Olympics;OCEANIA
Peter Vanderkaay;24;United States;2008;24/08/2008;Swimming;1;0;1;2;4;Olympics;AMERICA
Arkady Vyachanin;24;Russia;2008;24/08/2008;Swimming;0;0;2;2;2;Olympics;ASIA
Garrett Weber-Gale;23;United States;2008;24/08/2008;Swimming;2;0;0;2;6;Olympics;AMERICA
Lindsay Benko;27;United States;2004;29/08/2004;Swimming;1;1;0;2;5;Olympics;AMERICA
Gary Hall Jr.;29;United States;2004;29/08/2004;Swimming;1;0;1;2;4;Olympics;AMERICA
Brooke Hanson;26;Australia;2004;29/08/2004;Swimming;1;1;0;2;5;Olympics;OCEANIA
Kara Lynn Joyce;18;United States;2004;29/08/2004;Swimming;0;2;0;2;4;Olympics;AMERICA
Klete Keller;22;United States;2004;29/08/2004;Swimming;1;0;1;2;4;Olympics;AMERICA
Yana Klochkova;22;Ukraine;2004;29/08/2004;Swimming;2;0;0;2;6;Olympics;EUROPE
Rachel Komisarz;27;United States;2004;29/08/2004;Swimming;1;1;0;2;5;Olympics;AMERICA
Libby Lenton-Trickett;19;Australia;2004;29/08/2004;Swimming;1;0;1;2;4;Olympics;OCEANIA
Jason Lezak;28;United States;2004;29/08/2004;Swimming;1;0;1;2;4;Olympics;AMERICA
Ryan Lochte;20;United States;2004;29/08/2004;Swimming;1;1;0;2;5;Olympics;AMERICA
Alice Mills;18;Australia;2004;29/08/2004;Swimming;2;0;0;2;6;Olympics;OCEANIA
Tomomi Morita;19;Japan;2004;29/08/2004;Swimming;0;0;2;2;2;Olympics;ASIA
Markus Rogan;22;Austria;2004;29/08/2004;Swimming;0;2;0;2;4;Olympics;EUROPE
Jenny Thompson;31;United States;2004;29/08/2004;Swimming;0;2;0;2;4;Olympics;AMERICA
Franziska van Almsick;26;Germany;2004;29/08/2004;Swimming;0;0;2;2;2;Olympics;EUROPE
Neil Walker;28;United States;2004;29/08/2004;Swimming;1;0;1;2;4;Olympics;AMERICA
Amanda Weir;18;United States;2004;29/08/2004;Swimming;0;2;0;2;4;Olympics;AMERICA
Takashi Yamamoto;26;Japan;2004;29/08/2004;Swimming;0;1;1;2;3;Olympics;ASIA
Brooke Bennett;20;United States;2000;01/10/2000;Swimming;2;0;0;2;6;Olympics;AMERICA
Beatrice Coada-Caslaru;25;Romania;2000;01/10/2000;Swimming;0;1;1;2;3;Olympics;EUROPE
Josh Davis;28;United States;2000;01/10/2000;Swimming;0;2;0;2;4;Olympics;AMERICA
Tom Dolan;25;United States;2000;01/10/2000;Swimming;1;1;0;2;5;Olympics;AMERICA
