Athlete;Age;Country;Year;Closing Ceremony Date;Sport;Gold Medals;Silver Medals;Bronze Medals;Total Medals;Points;Type;Continent
Nur Tatar;19;Turkey;2016;12/08/2016;Taekwondo;0;1;0;1;2;Olympics;ASIA
Servet Tazegül;23;Turkey;2016;12/08/2016;Taekwondo;1;0;0;1;3;Olympics;ASIA
Tseng Li-Cheng;25;Chinese Taipei;2016;12/08/2016;Taekwondo;0;0;1;1;1;Olympics;ASIA
Wu Jingyu;25;China;2016;12/08/2016;Taekwondo;1;0;0;1;3;Olympics;ASIA
Brigitte Yagüe;31;Spain;2016;12/08/2016;Taekwondo;0;1;0;1;2;Olympics;EUROPE
Lucija Zaninovic;25;Croatia;2016;12/08/2016;Taekwondo;0;0;1;1;1;Olympics;EUROPE
Julien Benneteau;30;France;2016;12/08/2016;Tennis;0;0;1;1;1;Olympics;EUROPE
Bob Bryan;34;United States;2016;12/08/2016;Tennis;1;0;0;1;3;Olympics;AMERICA
Juan Martín del Potro;23;Argentina;2016;12/08/2016;Tennis;0;0;1;1;1;Olympics;AMERICA
Roger Federer;30;Switzerland;2016;12/08/2016;Tennis;0;1;0;1;2;Olympics;EUROPE
Richard Gasquet;26;France;2016;12/08/2016;Tennis;0;0;1;1;1;Olympics;EUROPE
Andrea Hlavácková;25;Czech Republic;2016;12/08/2016;Tennis;0;1;0;1;2;Olympics;EUROPE
Lucie Hradecká;27;Czech Republic;2016;12/08/2016;Tennis;0;1;0;1;2;Olympics;EUROPE
Mariya Kirilenko;25;Russia;2016;12/08/2016;Tennis;0;0;1;1;1;Olympics;ASIA
Michaël Llodra;32;France;2016;12/08/2016;Tennis;0;1;0;1;2;Olympics;EUROPE
Max Mirnyi;35;Belarus;2016;12/08/2016;Tennis;1;0;0;1;3;Olympics;EUROPE
Nadiya Petrova;30;Russia;2016;12/08/2016;Tennis;0;0;1;1;1;Olympics;ASIA
Lisa Raymond;38;United States;2016;12/08/2016;Tennis;0;0;1;1;1;Olympics;AMERICA
Laura Robson;18;Great Britain;2016;12/08/2016;Tennis;0;1;0;1;2;Olympics;EUROPE
Mariya Sharapova;25;Russia;2016;12/08/2016;Tennis;0;1;0;1;2;Olympics;ASIA
Jo-Wilfried Tsonga;27;France;2016;12/08/2016;Tennis;0;1;0;1;2;Olympics;EUROPE
Venus Williams;32;United States;2016;12/08/2016;Tennis;1;0;0;1;3;Olympics;AMERICA
Clara Basiana;21;Spain;2016;12/08/2016;Synchronized Swimming;0;0;1;1;1;Olympics;EUROPE
Alba Cabello;26;Spain;2016;12/08/2016;Synchronized Swimming;0;0;1;1;1;Olympics;EUROPE
Chang Si;25;China;2016;12/08/2016;Synchronized Swimming;0;1;0;1;2;Olympics;ASIA
Chen Xiaojun;20;China;2016;12/08/2016;Synchronized Swimming;0;1;0;1;2;Olympics;ASIA
Margalida Crespi;21;Spain;2016;12/08/2016;Synchronized Swimming;0;0;1;1;1;Olympics;EUROPE
Anastasiya Davydova;29;Russia;2016;12/08/2016;Synchronized Swimming;1;0;0;1;3;Olympics;ASIA
Mariya Gromova;28;Russia;2016;12/08/2016;Synchronized Swimming;1;0;0;1;3;Olympics;ASIA
Thais Henríquez;29;Spain;2016;12/08/2016;Synchronized Swimming;0;0;1;1;1;Olympics;EUROPE
Jiang Tingting;25;China;2016;12/08/2016;Synchronized Swimming;0;1;0;1;2;Olympics;ASIA
Jiang Wenwen;25;China;2016;12/08/2016;Synchronized Swimming;0;1;0;1;2;Olympics;ASIA
Elvira Khasyanova;31;Russia;2016;12/08/2016;Synchronized Swimming;1;0;0;1;3;Olympics;ASIA
Paula Klamburg;22;Spain;2016;12/08/2016;Synchronized Swimming;0;0;1;1;1;Olympics;EUROPE
Darya Korobova;23;Russia;2016;12/08/2016;Synchronized Swimming;1;0;0;1;3;Olympics;ASIA
Luo Xi;24;China;2016;12/08/2016;Synchronized Swimming;0;1;0;1;2;Olympics;ASIA
Irene Montrucchio;20;Spain;2016;12/08/2016;Synchronized Swimming;0;0;1;1;1;Olympics;EUROPE
Aleksandra Patskevich;23;Russia;2016;12/08/2016;Synchronized Swimming;1;0;0;1;3;Olympics;ASIA
Laia Pons;19;Spain;2016;12/08/2016;Synchronized Swimming;0;0;1;1;1;Olympics;EUROPE
Alla Shishkina;23;Russia;2016;12/08/2016;Synchronized Swimming;1;0;0;1;3;Olympics;ASIA
Sun Wenyan;22;China;2016;12/08/2016;Synchronized Swimming;0;1;0;1;2;Olympics;ASIA
Anzhelika Timanina;23;Russia;2016;12/08/2016;Synchronized Swimming;1;0;0;1;3;Olympics;ASIA
Wu Yiwen;26;China;2016;12/08/2016;Synchronized Swimming;0;1;0;1;2;Olympics;ASIA
Alyssa Anderson;21;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Haley Anderson;20;United States;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;AMERICA
Angie Bainbridge;22;Australia;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;OCEANIA
Coralie Balmy;25;France;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;EUROPE
Alain Bernard;29;France;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;EUROPE
Charlotte Bonnet;17;France;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;EUROPE
Rachel Bootsma;18;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Cate Campbell;20;Australia;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;OCEANIA
César Cielo Filho;25;Brazil;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;AMERICA
Tyler Clary;23;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Ryan Cochrane;23;Canada;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;AMERICA
Natalie Coughlin;29;United States;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;AMERICA
László Cseh Jr.;26;Hungary;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;EUROPE
Tommaso D'Orsogna;21;Australia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;OCEANIA
Dai Jun;20;China;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Inge Dekker;26;Netherlands;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;EUROPE
Claire Donahue;23;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Conor Dwyer;23;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Ophélie Etienne;21;France;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;EUROPE
Blair Evans;21;Australia;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;OCEANIA
Margaux Farrell;21;France;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;EUROPE
Jimmy Feigen;22;United States;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;AMERICA
Sergey Fesikov;23;Russia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Takuro Fujii;27;Japan;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;ASIA
Fabien Gilot;28;France;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;EUROPE
Andrey Grechin;24;Russia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Martina Grimaldi;23;Italy;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;EUROPE
Dániel Gyurta;23;Hungary;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;EUROPE
Kosuke Hagino;17;Japan;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Hao Yun;17;China;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Brent Hayden;28;Canada;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;AMERICA
Femke Heemskerk;24;Netherlands;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;EUROPE
Natsumi Hoshi;21;Japan;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Charlie Houchin;24;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Dan Izotov;20;Russia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Michael Jamieson;23;Great Britain;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;EUROPE
Jiang Haiqi;20;China;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Jiao Liuyang;22;China;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;ASIA
Leisel Jones;26;Australia;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;OCEANIA
Yuka Kato;25;Japan;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Kosuke Kitajima;29;Japan;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;ASIA
Yevgeny Korotyshkin;29;Russia;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;ASIA
Yolane Kukla;16;Australia;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;OCEANIA
Yevgeny Lagunov;26;Russia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Breeja Larson;20;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Mylene Lazare;24;France;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;EUROPE
Katie Ledecky;15;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Libby Lenton-Trickett;27;Australia;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;OCEANIA
Caitlin Leverenz;21;United States;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;AMERICA
Jason Lezak;36;United States;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;AMERICA
Li Xuanxu;18;China;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Li Yunqi;18;China;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Nikita Lobintsev;23;Russia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Lu Ying;23;China;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;ASIA
Lu Zhiwu;23;China;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Thomas Lurz;32;Germany;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;EUROPE
Grégory Mallet;28;France;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;EUROPE
Florent Manaudou;21;France;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;EUROPE
Tyler McGill;24;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Matt McLean;24;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Ruta Meilutyte;15;Lithuania;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;EUROPE
Vladimir Morozov;20;Russia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Lia Neal;17;United States;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;AMERICA
Jade Neilsen;21;Australia;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;OCEANIA
Kylie Palmer;22;Australia;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;OCEANIA
Lauren Perdue;21;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Thiago Pereira;26;Brazil;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;AMERICA
Brenton Rickard;28;Australia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;OCEANIA
Éva Risztov;26;Hungary;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;EUROPE
Hinkelien Schreuder;28;Netherlands;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;EUROPE
Eric Shanteau;28;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Hayden Stoeckel;27;Australia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;OCEANIA
Tang Yi;19;China;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Matt Targett;26;Australia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;OCEANIA
Davis Tarwater;28;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Ryo Tateishi;23;Japan;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Haruka Ueda;24;Japan;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Cameron van der Burgh;24;South Africa;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AFRICA
Peter Vanderkaay;28;United States;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;AMERICA
Shannon Vreeland;20;United States;2016;12/08/2016;Swimming;1;0;0;1;3;Olympics;AMERICA
Richard Weinberger;22;Canada;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;AMERICA
Amanda Weir;26;United States;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;AMERICA
Yuliya Yefimova;20;Russia;2016;12/08/2016;Swimming;0;0;1;1;1;Olympics;ASIA
Anastasiya Zuyeva;22;Russia;2016;12/08/2016;Swimming;0;1;0;1;2;Olympics;ASIA
Nasser Al-Attiya;41;Qatar;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;ASIA
Fehaid Al-Deehani;45;Kuwait;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;ASIA
Danka Barteková;27;Slovakia;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;EUROPE
Jamie Beyerle-Gray;28;United States;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;AMERICA
Sylwia Bogacka;30;Poland;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Giovanni Cernogoraz;29;Croatia;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;EUROPE
Chen Ying;34;China;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;ASIA
Choi Yeong-Rae;30;South Korea;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;ASIA
Lionel Cox;31;Belgium;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Håkan Dahlby;46;Sweden;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Rajmond Debevec;49;Slovenia;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;EUROPE
Ding Feng;25;China;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;ASIA
Matt Emmons;31;United States;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;AMERICA
Massimo Fabbrizi;34;Italy;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Celine Goberville;25;France;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Anders Golding;28;Denmark;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Guo Wenjun;28;China;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;ASIA
Vincent Hancock;23;United States;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;AMERICA
Kim Jang-Mi;19;South Korea;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;ASIA
Kim Jong-Hyeon;27;South Korea;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;ASIA
Vijay Kumar;26;India;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;ASIA
Ivana Maksimovic;22;Serbia;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Sergey Martynov;44;Belarus;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;EUROPE
Alin Moldoveanu;29;Romania;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;EUROPE
Vasily Mosin;40;Russia;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;ASIA
Gagan Narang;29;India;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;ASIA
Leuris Pupo;35;Cuba;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;AMERICA
Delphine Racinet-Reau;38;France;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;EUROPE
Kim Rhode;33;United States;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;AMERICA
Jessica Rossi;20;Italy;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;EUROPE
Zuzana Štefeceková;28;Slovakia;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Adéla Sýkorová;25;Czech Republic;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;EUROPE
Luca Tesconi;30;Italy;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;EUROPE
Wang Zhiwei;24;China;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;ASIA
Wei Ning;29;China;2016;12/08/2016;Shooting;0;1;0;1;2;Olympics;ASIA
Peter Wilson;25;Great Britain;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;EUROPE
Yi Siling;23;China;2016;12/08/2016;Shooting;1;0;0;1;3;Olympics;ASIA
Yu Dan;24;China;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;ASIA
Andrija Zlatic;34;Serbia;2016;12/08/2016;Shooting;0;0;1;1;1;Olympics;EUROPE
Ben Ainslie;35;Great Britain;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;EUROPE
Marina Alabau;26;Spain;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;EUROPE
Jo Aleh;26;New Zealand;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;OCEANIA
Mathew Belcher;29;Australia;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;OCEANIA
Lobke Berkhout;31;Netherlands;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Stuart Bithell;25;Great Britain;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Marit Bouwmeester;24;Netherlands;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Peter Burling;21;New Zealand;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;OCEANIA
Lucas Calabrese;25;Argentina;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;AMERICA
Saskia Clark;32;Great Britain;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Nina Curtis;24;Australia;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;OCEANIA
Juan de la Fuente;35;Argentina;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;AMERICA
Nick Dempsey;31;Great Britain;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Támara Echegoyen;28;Spain;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;EUROPE
Jonas Høgh Christensen;31;Denmark;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Iain Jensen;24;Australia;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;OCEANIA
Silja Kanerva;27;Finland;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Pavlos Kontides;22;Cyprus;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Peter Lang;23;Denmark;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Silja Lehtinen;26;Finland;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Jonathan Lobert;27;France;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Fredrik Lööf;42;Sweden;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;EUROPE
Przemyslaw Miarczynski;32;Poland;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Hannah Mills;24;Great Britain;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Rasmus Myrgren;33;Sweden;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Zofia Noceti-Klepacka;26;Poland;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Allan Nørregaard;31;Denmark;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Nathan Outteridge;26;Australia;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;OCEANIA
Malcolm Page;40;Australia;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;OCEANIA
Luke Patience;25;Great Britain;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Iain Percy;36;Great Britain;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Tuuli Petäjä;28;Finland;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Olivia Powrie;24;New Zealand;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;OCEANIA
Bruno Prada;40;Brazil;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;AMERICA
Olivia Price;19;Australia;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;OCEANIA
Angela Pumariega;27;Spain;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;EUROPE
Max Salminen;23;Sweden;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;EUROPE
Robert Scheidt;39;Brazil;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;AMERICA
Andrew Simpson;35;Great Britain;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;EUROPE
Tom Slingsby;27;Australia;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;OCEANIA
Sofia Toro;21;Spain;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;EUROPE
Blair Tuke;23;New Zealand;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;OCEANIA
Evi Van Acker;26;Belgium;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Dorian van Rijsselberge;23;Netherlands;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;EUROPE
Lisa Westerhof;30;Netherlands;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Lucinda Whitty;22;Australia;2016;12/08/2016;Sailing;0;1;0;1;2;Olympics;OCEANIA
Mikaela Wulff;22;Finland;2016;12/08/2016;Sailing;0;0;1;1;1;Olympics;EUROPE
Xu Lijia;24;China;2016;12/08/2016;Sailing;1;0;0;1;3;Olympics;ASIA
Chantal Achterberg;27;Netherlands;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Filip Adamski;29;Germany;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Carina Bär;22;Germany;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;EUROPE
Jacob Barsøe;23;Denmark;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Chris Bartley;28;Great Britain;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;EUROPE
Romano Battisti;25;Italy;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;EUROPE
Anna Bebington-Watkins;29;Great Britain;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Claudia Belderbos;27;Netherlands;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Gabe Bergen;30;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Hamish Bond;26;New Zealand;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;OCEANIA
Carline Bouw;27;Netherlands;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Matthew Brittain;25;South Africa;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;AFRICA
Jeremiah Brown;26;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Ashley Brzozowicz;29;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Andrew Byrnes;29;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Erin Cafaro;29;United States;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;AMERICA
Alan Campbell;29;Great Britain;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Peter Chambers;22;Great Britain;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;EUROPE
Richard Chambers;27;Great Britain;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;EUROPE
James Chapman;32;Australia;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;OCEANIA
Germain Chardin;29;France;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;EUROPE
Nathan Cohen;26;New Zealand;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;OCEANIA
Charlie Cole;26;United States;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;AMERICA
Iztok Cop;40;Slovenia;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Kat Copeland;21;Great Britain;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Will Crothers;25;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Douglas Csima;26;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Caryn Davies;30;United States;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;AMERICA
Sytske de Groot;26;Netherlands;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Annemiek de Haan;31;Netherlands;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Rachelle De Jong-Viinberg;33;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Natalie Dell;27;United States;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;AMERICA
Yana Dementieva;33;Ukraine;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Nataliya Dovhodko;21;Ukraine;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Mahé Drysdale;33;New Zealand;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;OCEANIA
Joshua Dunkley-Smith;23;Australia;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;OCEANIA
Eskild Ebbesen;40;Denmark;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Ric Egington;33;Great Britain;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Fie Udby Erichsen;27;Denmark;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;EUROPE
James Foad;25;Great Britain;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Karsten Forsterling;32;Australia;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;OCEANIA
Susan Francia;29;United States;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;AMERICA
Magdalena Fularczyk;25;Poland;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Scott Gault;29;United States;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;AMERICA
Khristina Giazitzidou;22;Greece;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
Rob Gibson;26;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Drew Ginn;37;Australia;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;OCEANIA
Helen Glover;26;Great Britain;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Katherine Grainger;36;Great Britain;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Alex Gregory;28;Great Britain;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Tim Grohmann;23;Germany;2016;12/08/2016;Rowing;1;0;0;1;3;Olympics;EUROPE
Krista Guloien;32;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Juliette Haigh;29;New Zealand;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;OCEANIA
Janine Hanson;29;Canada;2016;12/08/2016;Rowing;0;1;0;1;2;Olympics;AMERICA
Phelan Hill;33;Great Britain;2016;12/08/2016;Rowing;0;0;1;1;1;Olympics;EUROPE
